item,co2,unit,category,source
"salisbury steak with gravy, whipped potatoes, vegetable, dessert, frozen meal",3.5,0.069,food,Existing Dataset
"salisbury steak with gravy, potatoes, vegetable, dessert, frozen meal",3.5,0.157,food,Existing Dataset
"salisbury steak with gravy, macaroni and cheese, vegetable, frozen meal",3.5,0.071,food,Existing Dataset
"salisbury steak with gravy, macaroni and cheese, frozen meal",3.5,0.098,food,Existing Dataset
"salisbury steak, potatoes, vegetable, dessert, diet frozen meal",3.5,0.073,food,Existing Dataset
"beef, sliced, with gravy, potatoes, vegetable, frozen meal",27.0,0.053,food,Existing Dataset
"beef short ribs, boneless, with barbecue sauce, potatoes, vegetable, frozen meal",99.48,0.105,food,Existing Dataset
"salisbury steak, baked, with tomato sauce, vegetable, diet frozen meal",3.5,0.102,food,Existing Dataset
"beef with spaetzle or rice, vegetable, frozen meal",99.48,0.059,food,Existing Dataset
"chicken dinner, nfs, frozen meal",9.87,0.065,food,Existing Dataset
"chicken and noodles with vegetable, dessert, frozen meal",9.87,0.186,food,Existing Dataset
"chicken, fried, with potatoes, vegetable, frozen meal",6.9,0.057,food,Existing Dataset
"chicken patty, or nuggets, boneless, breaded, potatoes, vegetable, frozen meal",9.87,0.081,food,Existing Dataset
"chicken patty or nuggets, boneless, breaded, with pasta and tomato sauce, fruit, dessert, frozen meal",9.87,0.092,food,Existing Dataset
"chicken, fried, with potatoes, vegetable, dessert, frozen meal",6.9,0.057,food,Existing Dataset
"chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion",6.9,0.075,food,Existing Dataset
"teriyaki chicken with rice and vegetable, diet frozen meal",9.87,0.03,food,Existing Dataset
"chicken with rice and vegetable, diet frozen meal",9.87,0.083,food,Existing Dataset
"chicken and vegetables au gratin with rice, diet frozen entree",9.87,0.069,food,Existing Dataset
"chicken and vegetable entree with rice, diet frozen meal",9.87,0.068,food,Existing Dataset
"chicken chow mein with rice, diet frozen meal",9.87,0.061,food,Existing Dataset
"chicken with noodles and cheese sauce, diet frozen meal",9.87,0.051,food,Existing Dataset
"chicken and vegetable entree with noodles, frozen meal",9.87,0.086,food,Existing Dataset
"chicken and vegetable entree with noodles, diet frozen meal",9.87,0.094,food,Existing Dataset
"chicken in cream sauce with noodles and vegetable, frozen meal",9.87,0.065,food,Existing Dataset
"chicken in butter sauce with potatoes and vegetable, diet frozen meal",9.87,0.049,food,Existing Dataset
"chicken in mushroom sauce, white and wild rice, vegetable, frozen meal",9.87,0.05,food,Existing Dataset
"chicken in soy-based sauce, rice and vegetables, frozen meal",9.87,0.088,food,Existing Dataset
"chicken and vegetable entree with noodles and cream sauce, frozen meal",9.87,0.063,food,Existing Dataset
"fish in lemon-butter sauce with starch item, vegetable, frozen meal",13.63,0.051,food,Existing Dataset
"meat loaf with potatoes, vegetable, frozen meal",0.46,0.074,food,Existing Dataset
"beef, broth, bouillon, or consomme",27.0,0.0,food,Existing Dataset
"beef broth, with tomato, home recipe",99.48,0.025,food,Existing Dataset
"beef broth, without tomato, home recipe",99.48,0.05,food,Existing Dataset
"beef noodle soup, puerto rican style",99.48,0.07,food,Existing Dataset
"beef and rice soup, puerto rican style",99.48,0.069,food,Existing Dataset
"beef vegetable soup with potato, pasta, or rice, chunky style, canned, or ready-to-serve",99.48,0.026,food,Existing Dataset
"beef vegetable soup, home recipe, mexican style",99.48,0.049,food,Existing Dataset
"beef stroganoff soup, chunky style, home recipe, canned or ready-to-serve",99.48,0.1,food,Existing Dataset
"pork vegetable soup with potato, pasta, or rice, stew type, chunky style",12.31,0.035,food,Existing Dataset
"pork with vegetable excluding carrots, broccoli and/or dark-green leafy; soup, asian style",12.31,0.059,food,Existing Dataset
"lamb, pasta, and vegetable soup, puerto rican style",39.0,0.074,food,Existing Dataset
"chicken or turkey broth, bouillon, or consomme",9.87,0.015,food,Existing Dataset
"chicken or turkey broth, without tomato, home recipe",9.87,0.054,food,Existing Dataset
"chicken or turkey broth, with tomato, home recipe",9.87,0.036,food,Existing Dataset
mexican style chicken broth soup stock,9.87,0.059,food,Existing Dataset
"beef broth, less or reduced sodium, canned or ready-to-serve",99.48,0.009,food,Existing Dataset
"chicken or turkey broth, less or reduced sodium, canned or ready-to-serve",9.87,0.035,food,Existing Dataset
"chicken rice soup, puerto rican style",9.87,0.07,food,Existing Dataset
"chicken soup with noodles and potatoes, puerto rican style",9.87,0.072,food,Existing Dataset
"chicken or turkey gumbo soup, home recipe, canned or ready-to-serve",9.87,0.051,food,Existing Dataset
"chicken or turkey noodle soup, chunky style, canned or ready-to-serve",9.87,0.028,food,Existing Dataset
"chicken or turkey soup with vegetables, broccoli, carrots, celery, potatoes and onions, asian style",9.87,0.035,food,Existing Dataset
"chicken or turkey corn soup with noodles, home recipe",9.87,0.044,food,Existing Dataset
"chicken or turkey vegetable soup, canned, prepared with water or ready-to-serve",9.87,0.023,food,Existing Dataset
"chicken or turkey vegetable soup, stew type",9.87,0.1,food,Existing Dataset
"chicken or turkey vegetable soup with rice, stew type, chunky style",9.87,0.1,food,Existing Dataset
"chicken or turkey vegetable soup with noodles, stew type, chunky style, canned or ready-to-serve",9.87,0.1,food,Existing Dataset
"chicken or turkey vegetable soup, home recipe",9.87,0.043,food,Existing Dataset
"chicken or turkey vegetable soup with rice, home recipe, mexican style",9.87,0.063,food,Existing Dataset
"chicken or turkey and corn hominy soup,  home recipe, mexican style",9.87,0.062,food,Existing Dataset
"chicken or turkey vegetable soup with potato and cheese, chunky style, canned or ready-to-serve",9.87,0.04,food,Existing Dataset
"chicken or turkey soup with vegetables and fruit, asian style",9.87,0.045,food,Existing Dataset
"chicken or turkey soup, cream of, canned, reduced sodium, ns as to made with milk or water",9.87,0.022,food,Existing Dataset
"chicken or turkey soup, cream of, canned, reduced sodium, made with milk",9.87,0.017,food,Existing Dataset
"chicken or turkey soup, cream of, canned, reduced sodium, made with water",9.87,0.022,food,Existing Dataset
"chicken or turkey soup, cream of, ns as to prepared with milk or water",9.87,0.07,food,Existing Dataset
"chicken or turkey soup, cream of, prepared with milk",9.87,0.064,food,Existing Dataset
"chicken or turkey soup, cream of, prepared with water",9.87,0.07,food,Existing Dataset
"chicken or turkey mushroom soup, cream of, prepared with milk",9.87,0.02,food,Existing Dataset
"fish stock, home recipe",13.63,0.058,food,Existing Dataset
fish chowder,13.63,0.055,food,Existing Dataset
"fish and vegetable soup, no potatoes, mexican style",13.63,0.052,food,Existing Dataset
"fish soup with potatoes, mexican style",0.46,0.062,food,Existing Dataset
"codfish, rice, and vegetable soup, puerto rican style",13.63,0.047,food,Existing Dataset
"codfish soup with noodles, puerto rican style",13.63,0.055,food,Existing Dataset
"seafood soup with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy",0.46,0.062,food,Existing Dataset
"seafood soup with potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy",0.46,0.062,food,Existing Dataset
"egg, whole, raw",4.67,0.072,food,Existing Dataset
"egg, whole, cooked, ns as to cooking method",4.67,0.069,food,Existing Dataset
"egg, whole, boiled or poached",4.67,0.072,food,Existing Dataset
"egg, whole, fried, ns as to fat",4.67,0.067,food,Existing Dataset
"egg, whole, fried no added fat",4.67,0.072,food,Existing Dataset
"egg, whole, fried with margarine",4.67,0.067,food,Existing Dataset
"egg, whole, fried with oil",4.67,0.067,food,Existing Dataset
"egg, whole, fried with butter",4.67,0.067,food,Existing Dataset
"egg, whole, fried with animal fat or meat drippings",4.67,0.068,food,Existing Dataset
"egg, whole, fried with cooking spray",4.67,0.071,food,Existing Dataset
"egg, whole, fried, ns as to fat type",4.67,0.067,food,Existing Dataset
"egg, whole, fried, from fast food / restaurant",4.67,0.067,food,Existing Dataset
"egg, whole, baked, ns as to fat",4.67,0.067,food,Existing Dataset
"egg, whole, baked, no added fat",4.67,0.072,food,Existing Dataset
"egg, whole, baked, fat added",4.67,0.067,food,Existing Dataset
"egg, whole, pickled",4.67,0.013,food,Existing Dataset
"egg, white only, raw",4.67,0.023,food,Existing Dataset
"egg, white, cooked, ns as to fat",4.67,0.021,food,Existing Dataset
"egg, white, cooked, no added fat",4.67,0.023,food,Existing Dataset
"egg, white, cooked, fat added",4.67,0.021,food,Existing Dataset
"egg, yolk only, raw",4.67,0.077,food,Existing Dataset
"egg, yolk only, cooked, ns as to fat",4.67,0.072,food,Existing Dataset
"egg, yolk only, cooked, no added fat",4.67,0.077,food,Existing Dataset
"egg, yolk only, cooked, fat added",4.67,0.072,food,Existing Dataset
"egg, creamed",4.67,0.011,food,Existing Dataset
"egg, benedict",4.67,0.067,food,Existing Dataset
"egg, deviled",4.67,0.013,food,Existing Dataset
"egg casserole with bread, cheese, milk and meat",1.57,0.057,food,Existing Dataset
chicken egg foo yung,9.87,0.062,food,Existing Dataset
pork egg foo yung,12.31,0.06,food,Existing Dataset
beef egg foo yung,99.48,0.065,food,Existing Dataset
"scrambled eggs with jerked beef, puerto rican style",99.48,0.082,food,Existing Dataset
"eggs a la malaguena, puerto rican style",4.67,0.103,food,Existing Dataset
"egg, cheese, ham, and bacon on bun",4.67,0.078,food,Existing Dataset
"egg, cheese, and ham on english muffin",4.67,0.084,food,Existing Dataset
"egg, cheese, and ham on biscuit",4.67,0.068,food,Existing Dataset
"egg, cheese and ham on bagel",4.67,0.076,food,Existing Dataset
"egg, cheese, and sausage on english muffin",4.67,0.211,food,Existing Dataset
"egg, cheese, and sausage on bun",4.67,0.075,food,Existing Dataset
"egg, cheese, and steak on bagel",4.67,0.337,food,Existing Dataset
"egg, cheese, and sausage on biscuit",4.67,0.07,food,Existing Dataset
"egg, cheese, and sausage griddle cake sandwich",4.67,0.079,food,Existing Dataset
"egg, cheese, and bacon on biscuit",4.67,0.273,food,Existing Dataset
"egg, cheese, and bacon griddle cake sandwich",4.67,0.092,food,Existing Dataset
"egg, cheese, and bacon on english muffin",4.67,0.084,food,Existing Dataset
"egg, cheese and bacon on bagel",4.67,0.087,food,Existing Dataset
"egg, cheese and sausage on bagel",4.67,0.327,food,Existing Dataset
egg and steak on biscuit,3.5,0.076,food,Existing Dataset
egg and cheese on biscuit,23.88,0.063,food,Existing Dataset
"beans and tomatoes, no added fat",2.09,0.182,food,Existing Dataset
"beans and tomatoes, fat added",2.09,0.173,food,Existing Dataset
pork and beans,12.31,0.171,food,Existing Dataset
"blackeyed peas, nfs",0.98,0.249,food,Existing Dataset
"blackeyed peas, from dried",0.98,0.249,food,Existing Dataset
"chickpeas, nfs",0.98,0.327,food,Existing Dataset
"chickpeas, from dried, fat added",0.98,0.327,food,Existing Dataset
"chickpeas, from dried, no added fat",0.98,0.35,food,Existing Dataset
"chickpeas, from canned, fat added",0.98,0.245,food,Existing Dataset
"chickpeas, from canned, no added fat",0.98,0.255,food,Existing Dataset
"chickpeas, from canned, reduced sodium",0.98,0.245,food,Existing Dataset
"split peas, from dried, no added fat",0.98,0.18,food,Existing Dataset
"split peas, from dried, fat added",0.98,0.168,food,Existing Dataset
wasabi peas,0.98,0.444,food,Existing Dataset
lentil curry with rice,4.45,0.119,food,Existing Dataset
soy nuts,0.43,0.828,food,Existing Dataset
soybean curd cheese,23.88,0.38,food,Existing Dataset
"yogurt, soy",2.2,0.075,food,Existing Dataset
"chicken, meatless, nfs",6.9,0.689,food,Existing Dataset
"chicken, meatless, breaded, fried",6.9,0.5,food,Existing Dataset
"swiss steak, with gravy, meatless",3.5,0.165,food,Existing Dataset
"tofu and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, with soy-based sauce",3.16,0.092,food,Existing Dataset
"tofu and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, with soy-based sauce",3.16,0.123,food,Existing Dataset
"nuts, nfs",0.43,0.96,food,Existing Dataset
brazil nuts,0.43,1.743,food,Existing Dataset
chestnuts,0.43,0.507,food,Existing Dataset
hazelnuts,0.43,1.725,food,Existing Dataset
macadamia nuts,0.43,0.57,food,Existing Dataset
"mixed nuts, nfs",0.43,0.96,food,Existing Dataset
"mixed nuts, unroasted",0.43,1.604,food,Existing Dataset
"mixed nuts, with peanuts, salted",0.43,0.96,food,Existing Dataset
"mixed nuts, with peanuts, lightly salted",0.43,0.964,food,Existing Dataset
"mixed nuts, with peanuts, unsalted",0.43,0.967,food,Existing Dataset
"mixed nuts, without peanuts, salted",0.43,1.542,food,Existing Dataset
"mixed nuts, without peanuts, unsalted",0.43,1.555,food,Existing Dataset
"mixed nuts, honey roasted",0.43,0.747,food,Existing Dataset
"peanuts, nfs",0.43,0.428,food,Existing Dataset
"peanuts, boiled",0.43,0.499,food,Existing Dataset
"peanuts, unroasted",0.43,1.144,food,Existing Dataset
"peanuts, roasted, salted",0.43,0.533,food,Existing Dataset
"peanuts, roasted, unsalted",0.43,0.533,food,Existing Dataset
"peanuts, dry roasted, salted",0.43,0.428,food,Existing Dataset
"peanuts, dry roasted, lightly salted",0.43,0.426,food,Existing Dataset
"peanuts, dry roasted, unsalted",0.43,0.428,food,Existing Dataset
"peanuts, honey roasted",0.43,0.365,food,Existing Dataset
pine nuts,0.43,1.324,food,Existing Dataset
"pistachio nuts, nfs",0.43,1.293,food,Existing Dataset
"pistachio nuts, salted",0.43,1.242,food,Existing Dataset
"pistachio nuts, lightly salted",0.43,1.248,food,Existing Dataset
"pistachio nuts, unsalted",0.43,1.254,food,Existing Dataset
"walnuts, excluding honey roasted",0.43,1.586,food,Existing Dataset
"walnuts, honey roasted",0.43,1.069,food,Existing Dataset
almond butter,3.15,0.934,food,Existing Dataset
"almond butter, lower sodium",3.15,0.934,food,Existing Dataset
cashew butter,3.15,1.758,food,Existing Dataset
peanut butter,3.15,0.42,food,Existing Dataset
"peanut butter, lower sodium",3.15,0.422,food,Existing Dataset
"peanut butter, lower sodium and lower sugar",3.15,0.591,food,Existing Dataset
"peanut butter, lower sugar",3.15,0.76,food,Existing Dataset
"peanut butter, reduced fat",3.15,0.58,food,Existing Dataset
"peanut butter, vitamin and mineral fortified",3.15,1.64,food,Existing Dataset
peanut butter and jelly,3.15,0.215,food,Existing Dataset
peanut butter and chocolate spread,3.15,0.31,food,Existing Dataset
soy nut butter,3.15,0.934,food,Existing Dataset
"peanut butter sandwich, nfs",3.15,0.227,food,Existing Dataset
"peanut butter sandwich, with regular peanut butter, on white bread",3.15,0.227,food,Existing Dataset
"peanut butter sandwich, with regular peanut butter, on wheat bread",3.15,0.271,food,Existing Dataset
"peanut butter sandwich, with regular peanut butter, on whole wheat bread",3.15,0.271,food,Existing Dataset
"peanut butter sandwich, with reduced fat peanut butter, on white bread",3.15,0.283,food,Existing Dataset
"peanut butter sandwich, with reduced fat peanut butter, on wheat bread",3.15,0.326,food,Existing Dataset
"peanut butter sandwich, with reduced fat peanut butter, on whole wheat bread",3.15,0.326,food,Existing Dataset
"peanut butter and jelly sandwich, nfs",3.15,0.188,food,Existing Dataset
"peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread",3.15,0.188,food,Existing Dataset
"peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread",3.15,0.224,food,Existing Dataset
"peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on whole wheat bread",3.15,0.224,food,Existing Dataset
"peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on white bread",3.15,0.234,food,Existing Dataset
"peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on wheat bread",3.15,0.27,food,Existing Dataset
"peanut butter and jelly sandwich, with reduced fat peanut butter, regular jelly, on whole wheat bread",3.15,0.27,food,Existing Dataset
"peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on white bread",3.15,0.193,food,Existing Dataset
"peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on wheat bread",3.15,0.229,food,Existing Dataset
"peanut butter and jelly sandwich, with regular peanut butter, reduced sugar jelly, on whole wheat bread",3.15,0.229,food,Existing Dataset
"peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on white bread",3.15,0.239,food,Existing Dataset
"peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on wheat bread",3.15,0.275,food,Existing Dataset
"peanut butter and jelly sandwich, with reduced fat peanut butter, reduced sugar jelly, on whole wheat bread",3.15,0.275,food,Existing Dataset
"peanut butter and jelly sandwich, frozen commercial product without crusts",3.15,0.188,food,Existing Dataset
"coconut milk, used in cooking",3.15,0.266,food,Existing Dataset
"yogurt, coconut milk",2.2,0.024,food,Existing Dataset
trail mix with nuts,0.43,1.106,food,Existing Dataset
trail mix with nuts and fruit,0.43,0.637,food,Existing Dataset
"bread, ns as to major flour",1.4,0.124,food,Existing Dataset
"bread, ns as to major flour, toasted",1.4,0.136,food,Existing Dataset
"bread, made from home recipe or purchased at a bakery, ns as to major flour",1.4,0.122,food,Existing Dataset
"bread, made from home recipe or purchased at a bakery, toasted, ns as to major flour",1.4,0.134,food,Existing Dataset
"bread, white",1.4,0.124,food,Existing Dataset
"bread, white, toasted",1.4,0.136,food,Existing Dataset
"bread, white, made from home recipe or purchased at a bakery",1.4,0.122,food,Existing Dataset
"bread, white, made from home recipe or purchased at a bakery, toasted",1.4,0.134,food,Existing Dataset
"bread, white with whole wheat swirl",1.4,0.175,food,Existing Dataset
"bread, white with whole wheat swirl, toasted",1.4,0.199,food,Existing Dataset
"bread, cuban",1.4,0.152,food,Existing Dataset
"bread, cuban, toasted",1.4,0.167,food,Existing Dataset
"bread, native, water, puerto rican style",1.4,0.132,food,Existing Dataset
"bread, native, water, toasted, puerto rican style",1.4,0.145,food,Existing Dataset
"bread, lard, puerto rican style",1.4,0.1,food,Existing Dataset
"bread, lard, toasted, puerto rican style",1.4,0.111,food,Existing Dataset
"bread, caressed, puerto rican style",1.4,0.122,food,Existing Dataset
"bread, caressed, toasted, puerto rican style",1.4,0.134,food,Existing Dataset
"bread, french or vienna",1.4,0.152,food,Existing Dataset
"bread, french or vienna, toasted",1.4,0.167,food,Existing Dataset
"bread, italian, grecian, armenian",1.4,0.121,food,Existing Dataset
"bread, italian, grecian, armenian, toasted",1.4,0.133,food,Existing Dataset
"bread, pita",1.4,0.168,food,Existing Dataset
"bread, pita, toasted",1.4,0.185,food,Existing Dataset
"bread, pita with fruit",1.4,0.18,food,Existing Dataset
"bread, pita with fruit, toasted",1.4,0.198,food,Existing Dataset
"bread, cheese",1.4,0.086,food,Existing Dataset
"bread, cheese, toasted",1.4,0.095,food,Existing Dataset
"bread, cinnamon",1.4,0.064,food,Existing Dataset
"bread, cinnamon, toasted",1.4,0.136,food,Existing Dataset
"bread, cornmeal and molasses",1.4,0.198,food,Existing Dataset
"bread, cornmeal and molasses, toasted",1.4,0.218,food,Existing Dataset
"bread, egg, challah",1.4,0.162,food,Existing Dataset
"bread, egg, challah, toasted",1.4,0.178,food,Existing Dataset
"garlic bread, nfs",1.57,0.108,food,Existing Dataset
"garlic bread, from fast food / restaurant",1.57,0.108,food,Existing Dataset
"garlic bread, from frozen",1.57,0.108,food,Existing Dataset
"garlic bread, with parmesan cheese, from fast food / restaurant",1.57,0.106,food,Existing Dataset
"garlic bread, with parmesan cheese, from frozen",1.57,0.107,food,Existing Dataset
"garlic bread, with melted cheese, from fast food / restaurant",1.57,0.093,food,Existing Dataset
"garlic bread, with melted cheese, from frozen",1.57,0.098,food,Existing Dataset
"bread, onion",1.4,0.111,food,Existing Dataset
"bread, onion, toasted",1.4,0.122,food,Existing Dataset
"bread, reduced calorie and/or high fiber, white or nfs",1.4,0.33,food,Existing Dataset
"bread, reduced calorie and/or high fiber, white or nfs, toasted",1.4,0.363,food,Existing Dataset
"bread, reduced calorie and/or high fiber, white or nfs, with fruit and/or nuts",1.4,0.316,food,Existing Dataset
"bread, reduced calorie and/or high fiber, white or nfs, with fruit and/or nuts, toasted",1.4,0.347,food,Existing Dataset
"bread, white, special formula, added fiber",1.4,0.149,food,Existing Dataset
"bread, white, special formula, added fiber, toasted",1.4,0.164,food,Existing Dataset
"bread, high protein",1.4,0.417,food,Existing Dataset
"bread, high protein, toasted",1.4,0.458,food,Existing Dataset
"bread, potato",1.4,0.094,food,Existing Dataset
"bread, potato, toasted",1.4,0.103,food,Existing Dataset
"bread, raisin",1.4,0.139,food,Existing Dataset
"bread, raisin, toasted",1.4,0.153,food,Existing Dataset
"bread, white, low sodium or no salt",1.4,0.126,food,Existing Dataset
"bread, white, low sodium or no salt, toasted",1.4,0.138,food,Existing Dataset
"bread, sour dough",1.4,0.152,food,Existing Dataset
"bread, sour dough, toasted",1.4,0.167,food,Existing Dataset
"bread, sweet potato",1.4,0.128,food,Existing Dataset
"bread, sweet potato, toasted",1.4,0.141,food,Existing Dataset
"bread, vegetable",1.4,0.131,food,Existing Dataset
"bread, vegetable, toasted",1.4,0.144,food,Existing Dataset
"bread, dough, fried",1.4,0.106,food,Existing Dataset
"coffee cake, yeast type",28.53,0.088,food,Existing Dataset
"bread, spanish coffee",1.4,0.1,food,Existing Dataset
bread stuffing,1.57,0.074,food,Existing Dataset
bread stuffing made with egg,1.57,0.064,food,Existing Dataset
"breadsticks, nfs",1.57,0.107,food,Existing Dataset
"breadsticks, hard, nfs",1.57,0.188,food,Existing Dataset
"breadsticks, hard, reduced sodium",1.57,0.156,food,Existing Dataset
"breadsticks, soft, nfs",1.57,0.107,food,Existing Dataset
"breadsticks, soft, from fast food / restaurant",1.57,0.107,food,Existing Dataset
"breadsticks, soft, from frozen",1.57,0.114,food,Existing Dataset
"breadsticks, soft, with parmesan cheese, from fast food / restaurant",1.57,0.105,food,Existing Dataset
"breadsticks, soft, with parmesan cheese, from frozen",1.57,0.114,food,Existing Dataset
"breadsticks, soft, topped with melted cheese",1.57,0.092,food,Existing Dataset
"breadsticks, soft, stuffed with melted cheese",1.57,0.092,food,Existing Dataset
"bread, whole grain white",1.4,0.149,food,Existing Dataset
"bread, whole grain white, toasted",1.4,0.164,food,Existing Dataset
"bread, whole wheat",1.4,0.226,food,Existing Dataset
"bread, whole wheat, toasted",1.4,0.248,food,Existing Dataset
"bread, whole wheat, made from home recipe or purchased at bakery",1.4,0.257,food,Existing Dataset
"bread, whole wheat, made from home recipe or purchased at bakery, toasted",1.4,0.282,food,Existing Dataset
"bread, chappatti or roti, wheat",1.4,0.229,food,Existing Dataset
"bread, puri, wheat",1.4,0.148,food,Existing Dataset
"bread, paratha, wheat",1.4,0.146,food,Existing Dataset
"bread, whole wheat, with raisins",1.4,0.242,food,Existing Dataset
"bread, whole wheat, with raisins, toasted",1.4,0.266,food,Existing Dataset
"bread, sprouted wheat",1.4,0.208,food,Existing Dataset
"bread, sprouted wheat, toasted",1.4,0.229,food,Existing Dataset
"bread, wheat or cracked wheat",1.4,0.148,food,Existing Dataset
"bread, wheat or cracked wheat, toasted",1.4,0.163,food,Existing Dataset
"bread, wheat or cracked wheat, made from home recipe or purchased at bakery",1.4,0.166,food,Existing Dataset
"bread, wheat or cracked wheat, made from home recipe or purchased at bakery, toasted",1.4,0.182,food,Existing Dataset
"bread, wheat or cracked wheat, with raisins",1.4,0.172,food,Existing Dataset
"bread, wheat or cracked wheat, with raisins, toasted",1.4,0.189,food,Existing Dataset
"bread, wheat or cracked wheat, reduced calorie and/or high fiber",1.4,0.35,food,Existing Dataset
"bread, wheat or cracked wheat, reduced calorie and/or high fiber, toasted",1.4,0.385,food,Existing Dataset
"bread, french or vienna, whole wheat",1.4,0.188,food,Existing Dataset
"bread, french or vienna, whole wheat, toasted",1.4,0.207,food,Existing Dataset
"bread, pita, whole wheat",1.4,0.29,food,Existing Dataset
"bread, pita, whole wheat, toasted",1.4,0.319,food,Existing Dataset
"bread, pita, wheat or cracked wheat",1.4,0.29,food,Existing Dataset
"bread, pita, wheat or cracked wheat, toasted",1.4,0.319,food,Existing Dataset
"breadsticks, hard, whole wheat",1.57,0.378,food,Existing Dataset
"bread, rye",1.4,0.186,food,Existing Dataset
"bread, rye, toasted",1.4,0.204,food,Existing Dataset
"bread, marble rye and pumpernickel",1.4,0.186,food,Existing Dataset
"bread, marble rye and pumpernickel, toasted",1.4,0.204,food,Existing Dataset
"bread, pumpernickel",1.4,0.287,food,Existing Dataset
"bread, pumpernickel, toasted",1.4,0.315,food,Existing Dataset
"bread, black",1.4,0.287,food,Existing Dataset
"bread, black, toasted",1.4,0.315,food,Existing Dataset
"bread, oatmeal",1.4,0.209,food,Existing Dataset
"bread, oatmeal, toasted",1.4,0.23,food,Existing Dataset
"bread, oat bran",1.4,0.232,food,Existing Dataset
"bread, oat bran, toasted",1.4,0.23,food,Existing Dataset
"bread, multigrain, toasted",1.4,0.31,food,Existing Dataset
"bread, multigrain",1.4,0.282,food,Existing Dataset
"bread, multigrain, with raisins",1.4,0.281,food,Existing Dataset
"bread, multigrain, with raisins, toasted",1.4,0.309,food,Existing Dataset
"bread, multigrain, reduced calorie and/or high fiber",1.4,0.35,food,Existing Dataset
"bread, multigrain, reduced calorie and/or high fiber, toasted",1.4,0.385,food,Existing Dataset
"bread, barley",1.4,0.148,food,Existing Dataset
"bread, barley, toasted",1.4,0.163,food,Existing Dataset
"bread, soy",1.4,0.791,food,Existing Dataset
"bread, soy, toasted",1.4,0.869,food,Existing Dataset
"bread, sunflower meal",1.4,0.299,food,Existing Dataset
"bread, sunflower meal, toasted",1.4,0.329,food,Existing Dataset
"bread, rice",1.4,0.075,food,Existing Dataset
"bread, rice, toasted",1.4,0.082,food,Existing Dataset
"bread, gluten free",1.4,0.075,food,Existing Dataset
"bread, gluten free, toasted",1.4,0.082,food,Existing Dataset
"breadsticks, hard, gluten free",1.57,0.549,food,Existing Dataset
"cornbread, prepared from mix",1.57,0.073,food,Existing Dataset
"cornbread, made from home recipe",1.57,0.057,food,Existing Dataset
cornbread stuffing,1.57,0.069,food,Existing Dataset
"cornbread muffin, stick, round",1.57,0.299,food,Existing Dataset
"cornbread muffin, stick, round, made from home recipe",1.57,0.061,food,Existing Dataset
spoonbread,1.57,0.028,food,Existing Dataset
"bread, boston brown",1.4,0.148,food,Existing Dataset
"bread, nut",1.4,0.17,food,Existing Dataset
"bread, pumpkin",1.4,0.076,food,Existing Dataset
"bread, fruit",1.4,0.161,food,Existing Dataset
"bread, zucchini",1.4,0.063,food,Existing Dataset
"bread, irish soda",1.4,0.124,food,Existing Dataset
cheesecake,23.88,0.02,food,Existing Dataset
cheesecake with fruit,23.88,0.031,food,Existing Dataset
"cheesecake, chocolate",23.88,0.097,food,Existing Dataset
mixed fruit tart filled with custard or cream cheese,23.88,0.059,food,Existing Dataset
cheese pastry puffs,23.88,0.051,food,Existing Dataset
"coffee cake, crumb or quick-bread type",28.53,0.195,food,Existing Dataset
"coffee cake, crumb or quick-bread type, with fruit",28.53,0.132,food,Existing Dataset
"coffee cake, crumb or quick-bread type, cheese-filled",28.53,0.167,food,Existing Dataset
cereal or granola bar (kellogg's nutri-grain yogurt bar),3.15,0.142,food,Existing Dataset
milk 'n cereal bar,3.15,0.049,food,Existing Dataset
cereal or granola bar (quaker chewy 25% less sugar granola bar),3.2,0.163,food,Existing Dataset
"cereal or granola bar with nuts, chocolate coated",0.43,0.323,food,Existing Dataset
nutrition bar (tiger's milk),3.15,0.269,food,Existing Dataset
rice cake,4.45,0.445,food,Existing Dataset
rice paper,4.45,0.112,food,Existing Dataset
corn nuts,0.43,0.115,food,Existing Dataset
cheese flavored corn snacks,23.88,0.032,food,Existing Dataset
"cheese flavored corn snacks, reduced fat",23.88,0.085,food,Existing Dataset
cheese flavored corn snacks (cheetos),23.88,0.032,food,Existing Dataset
"fried bread, puerto rican style",1.57,0.05,food,Existing Dataset
cake made with glutinous rice,4.45,0.105,food,Existing Dataset
cake or pancake made with rice flour and/or dried beans,4.45,0.141,food,Existing Dataset
cake made with glutinous rice and dried beans,4.45,0.433,food,Existing Dataset
funnel cake with sugar,3.2,0.062,food,Existing Dataset
